English,Swedish
fireman,brandman
to work,arbeta
September,september
four,fyra
Monday,måndag
journalist,journalist
Friday,fredag
optician,optiker
customer,kund
arm,arm
a table,ett bord
friend (female),väninna
bakery,bageri
brother,bror
man,man
day,dag
horror film,skräckfilm
jeweler,juvelerare
half,halv
glass,glas
February,februari
coffee,kaffe
grandmother,farmor; mormor
to bake,baka
lawyer,advokat
hotel,hotell
a park,en park
oil (food),olja
kettle,kittel
leg,ben
friend (male),vän
Sunday,söndag
November,november
July,juli
one hundred,hundra
fried egg,stekta ägg
to need,behöva
lid,lock
granddaughter,sondotter; dotterdotter
clock,klocka
a problem,ett problem
to read,läsa
tea,te
forty,fyrtio
sauce,sås
child; baby,barn; baby; bebis; spädbarn
boy,pojke
warm,varmt
Sunday school,söndagsskola
son,son
egg,ägg
elephant,elefant
soft-boiled egg,kokta ägg
Thank you.,Tack.
thirty,trettio
teapot,tekanna
Good night.,Godnatt.
blue,blå
a library,ett bibliotek
week,vecka
Wednesday,onsdag
spoon,sked
I,jag
bookmark,bokmärke
pork,fläsk
student,student
grandfather,farfar; morfar
much,mycket
a banana,en banan
floor,golv
salt,salt
six,sex
ten,tio
breakfast,frukost
December,december
October,oktober
fat (nutrient),fett
room,rum
coffee pot,kaffekanna
black,svart
to come,komma
Tuesday,tisday
priest,präst
five,fem
August,augusti
book,bok
o'clock,klockan
white,vit
second (time),sekund
Thursday,torsdag
twelve,tolv
horror,skräck
policeman,polis
businessman,affärsman
yellow,gul
quarter,kvart
orange (color),orange
sister,syster
sausage,korv
cow,ko
cat,katt
photographer,fotograf
daughter,dotter
mouse,mus
cousin,kusin
omelet,omelett
to dream,drömma
wine,vin
zero,noll
giraffe,giraff
roof,tak
knife,kniv
red,röd
soup,soppa
tiger,tiger
grandson,sonson; dotterson
one thousand,tusen
shampoo,schampo
sixty,sextio
fifteen,femton
school,skola
Hello.,Hej.
brown,brun
father,pappa; far; fader
No.,Nej.
minute,minut
May,maj
girl,flicka
bread,bröd
winter,vinter
family,familj
one,en; ett
to die,dö
we,vi
frying pan,stekpanna
three,tre
napkin,servett
us,oss
pepper,peppar
fisherman,fiskare
they,de
January,januari
horse,häst
tablecloth,duk
sandwich,smörgås
a chair,en stol
camera,kamera
fire,brand
past (beyond),över
eight,åtta
bacon,bacon; fläsk
an apple,ett äpple
eleven,elva
to bite,bita
pink,rosa
Sweden,sverige
ninety,nittio
towel,handduk
April,april
calendar,kalender
she,hon
thirteen,tretton
house,hus
today,idag
can (verb),kan
judge,domare
to freeze,frysa
pharmacy,apotek
to go,gå
a film,en film
to fall,falla
to drink,dricka
niece,brorsdotter; systerdotter
finger,finger
green,grön
March,mars
mother,mamma; mor; moder
programmer,programmerare
musician,musiker
bookseller,bokhandlare
hand,hand
bathroom,badrum
meat,kött
to drive,driva
hat,hatt
a flower,en blomma
lamb,lamm
lion,lejon
he,han
ham,skinka
summer,sommar
gray,grå
workman,arbetare
fifty,femtio
alligator,krokodil
lunch,lunch
biscuit,kaka
baker,bagare
dessert,dessert
salad,sallad
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
